000001.XSHG,上证指数
000002.XSHG,A股指数
000003.XSHG,B股指数
000004.XSHG,工业指数
000005.XSHG,商业指数
000006.XSHG,地产指数
000007.XSHG,公用指数
000008.XSHG,综合指数
000009.XSHG,上证380
000010.XSHG,上证180
000011.XSHG,基金指数
000012.XSHG,国债指数
000013.XSHG,上证企业债指数
000015.XSHG,红利指数
000016.XSHG,上证50
000017.XSHG,新综指
000018.XSHG,180金融
000019.XSHG,治理指数
000020.XSHG,中型综指
000021.XSHG,180治理
000022.XSHG,上证公司债指数
000025.XSHG,180基建
000026.XSHG,180资源
000027.XSHG,180运输
000028.XSHG,180成长
000029.XSHG,180价值
000030.XSHG,180R成长
000031.XSHG,180R价值
000032.XSHG,上证能源
000033.XSHG,上证材料
000034.XSHG,上证工业
000035.XSHG,上证可选
000036.XSHG,上证消费
000037.XSHG,上证医药
000038.XSHG,上证金融
000039.XSHG,上证信息
000040.XSHG,上证电信
000041.XSHG,上证公用
000042.XSHG,上证央企
000043.XSHG,超大盘
000044.XSHG,上证中盘
000045.XSHG,上证小盘
000046.XSHG,上证中小
000047.XSHG,上证全指
000048.XSHG,责任指数
000049.XSHG,上证民企
000050.XSHG,50等权
000051.XSHG,180等权
000052.XSHG,50基本
000053.XSHG,180基本
000054.XSHG,上证海外
000055.XSHG,上证地企
000056.XSHG,上证国企
000057.XSHG,全指成长
000058.XSHG,全指价值
000059.XSHG,全R成长
000060.XSHG,全R价值
000061.XSHG,沪企债30
000062.XSHG,上证沪企
000063.XSHG,上证周期
000064.XSHG,非周期
000065.XSHG,上证龙头
000066.XSHG,上证商品
000067.XSHG,上证新兴
000068.XSHG,上证资源
000069.XSHG,消费80
000070.XSHG,能源等权
000071.XSHG,材料等权
000072.XSHG,工业等权
000073.XSHG,可选等权
000074.XSHG,消费等权
000075.XSHG,医药等权
000076.XSHG,金融等权
000077.XSHG,信息等权
000078.XSHG,电信等权
000079.XSHG,公用等权
000090.XSHG,上证流通
000091.XSHG,沪财中小
000092.XSHG,资源50
000093.XSHG,180分层
000094.XSHG,上证上游
000095.XSHG,上证中游
000096.XSHG,上证下游
000097.XSHG,高端装备
000098.XSHG,上证F200
000099.XSHG,上证F300
000100.XSHG,上证F500
000101.XSHG,5年信用
000102.XSHG,沪投资品
000103.XSHG,沪消费品
000104.XSHG,380能源
000105.XSHG,380材料
000106.XSHG,380工业
000107.XSHG,380可选
000108.XSHG,380消费
000109.XSHG,380医药
000110.XSHG,380金融
000111.XSHG,380信息
000112.XSHG,380电信
000113.XSHG,380公用
000114.XSHG,持续产业
000115.XSHG,380等权
000116.XSHG,信用100
000117.XSHG,380成长
000118.XSHG,380价值
000119.XSHG,380R成长
000120.XSHG,380R价值
000121.XSHG,医药主题
000122.XSHG,农业主题
000123.XSHG,180动态
000125.XSHG,180稳定
000126.XSHG,消费50
000128.XSHG,380基本
000129.XSHG,180波动
000130.XSHG,380波动
000131.XSHG,上证高新
000132.XSHG,上证100
000133.XSHG,上证150
000134.XSHG,上证银行
000135.XSHG,180高贝
000136.XSHG,180低贝
000137.XSHG,380高贝
000138.XSHG,380低贝
000139.XSHG,上证转债
000141.XSHG,380动态
000142.XSHG,380稳定
000145.XSHG,优势资源
000146.XSHG,优势制造
000147.XSHG,优势消费
000148.XSHG,消费领先
000149.XSHG,180红利
000150.XSHG,380红利
000151.XSHG,上国红利
000152.XSHG,上央红利
000153.XSHG,上民红利
000155.XSHG,市值百强
000158.XSHG,上证环保
000159.XSHG,上证沪股通指数
000160.XSHG,上证一带一路主题指数
000161.XSHG,上证中国制造2025主题指数
000162.XSHG,上证互联网+主题指数
000171.XSHG,新兴成指
000188.XSHG,中国波指
000300.XSHG,沪深300
000688.XSHG,科创50
000801.XSHG,资源80
000802.XSHG,500沪市
000803.XSHG,300波动
000804.XSHG,500波动
000805.XSHG,A股资源
000806.XSHG,消费服务
000807.XSHG,食品饮料
000808.XSHG,医药生物
000809.XSHG,细分农业
000810.XSHG,细分能源
000811.XSHG,细分有色
000812.XSHG,细分机械
000813.XSHG,细分化工
000814.XSHG,细分医药
000815.XSHG,细分食品
000816.XSHG,细分地产
000817.XSHG,兴证海峡
000818.XSHG,细分金融
000819.XSHG,有色金属
000820.XSHG,煤炭指数
000821.XSHG,300红利
000822.XSHG,500红利
000823.XSHG,中证800有色金属指数
000824.XSHG,国企红利
000825.XSHG,央企红利
000826.XSHG,民企红利
000827.XSHG,中证环保
000828.XSHG,300高贝
000829.XSHG,300低贝
000830.XSHG,500高贝
000831.XSHG,500低贝
000832.XSHG,中证转债
000833.XSHG,中高企债
000838.XSHG,创业价值
000839.XSHG,浙企综指
000840.XSHG,浙江民企
000841.XSHG,800医药
000842.XSHG,800等权
000843.XSHG,300动态
000844.XSHG,300稳定
000846.XSHG,ESG100
000847.XSHG,中证腾安价值100指数
000849.XSHG,沪深300非银行金融指数
000850.XSHG,沪深300有色金属指数
000851.XSHG,中证百度百发策略100指数
000852.XSHG,中证1000指数
000853.XSHG,中证申万一带一路主题投资指数
000854.XSHG,500原料
000855.XSHG,央视财经500指数
000856.XSHG,500工业
000857.XSHG,500医药
000858.XSHG,500信息
000891.XSHG,中国战略新兴产业综合指数
000901.XSHG,小康指数
000902.XSHG,中证流通
000903.XSHG,中证100
000904.XSHG,中证200
000905.XSHG,中证500
000906.XSHG,中证800
000907.XSHG,中证700
000908.XSHG,300能源
000909.XSHG,300材料
000910.XSHG,300工业
000911.XSHG,300可选
000912.XSHG,300消费
000913.XSHG,300医药
000914.XSHG,300金融
000915.XSHG,300信息
000916.XSHG,300电信
000917.XSHG,300公用
000918.XSHG,300成长
000919.XSHG,300价值
000920.XSHG,300R成长
000921.XSHG,300R价值
000922.XSHG,中证红利
000923.XSHG,公司债
000925.XSHG,基本面50
000926.XSHG,中证央企
000927.XSHG,央企100
000928.XSHG,中证能源
000929.XSHG,中证材料
000930.XSHG,中证工业
000931.XSHG,中证可选
000932.XSHG,中证消费
000933.XSHG,中证医药
000934.XSHG,中证金融
000935.XSHG,中证信息
000936.XSHG,中证电信
000937.XSHG,中证公用
000938.XSHG,中证民企
000939.XSHG,民企200
000940.XSHG,财富大盘
000941.XSHG,新能源
000942.XSHG,内地消费
000943.XSHG,内地基建
000944.XSHG,内地资源
000945.XSHG,内地运输
000946.XSHG,内地金融
000947.XSHG,内地银行
000948.XSHG,内地地产
000949.XSHG,内地农业
000950.XSHG,300基建
000951.XSHG,300银行
000952.XSHG,300地产
000953.XSHG,中证地企
000954.XSHG,地企100
000955.XSHG,中证国企
000956.XSHG,国企200
000957.XSHG,300运输
000958.XSHG,创业成长
000959.XSHG,银河99
000960.XSHG,中证龙头
000961.XSHG,中证上游
000962.XSHG,中证中游
000963.XSHG,中证下游
000964.XSHG,中证新兴
000965.XSHG,基本200
000966.XSHG,基本400
000967.XSHG,基本600
000968.XSHG,300周期
000969.XSHG,300非周
000970.XSHG,ESG40
000971.XSHG,等权90
000972.XSHG,300沪市
000973.XSHG,技术领先
000974.XSHG,中证800金融指数
000975.XSHG,钱江30
000976.XSHG,新华金牛
000977.XSHG,内地低碳
000978.XSHG,医药100
000979.XSHG,大宗商品
